Info 0    [07:21:37.265] Starting TS Server
Info 1    [07:21:37.266] Version: 4.6.3
Info 2    [07:21:37.266] Arguments: /usr/bin/node /home/jason/.emacs.d/.local/etc/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /home/jason/web_apps/img-effects/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/c5ea32d27dcc4a3bac4dd127ecaa5e4d/tscancellation*
Info 3    [07:21:37.266] Platform: linux NodeVersion: 17 CaseSensitive: true
Info 4    [07:21:37.266] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [07:21:37.276] Format host information updated
Info 6    [07:21:37.286] Search path: /home/jason/web_apps/img-effects/public
Info 7    [07:21:37.286] For info: /home/jason/web_apps/img-effects/public/main.js :: No config files found.
Info 8    [07:21:37.289] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [07:21:38.328] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1038.9127040002495ms
Info 10   [07:21:38.328] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [07:21:38.328] 	Files (168)

Info 12   [07:21:38.328] -----------------------------------------------
Info 13   [07:21:44.712] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [07:21:44.756] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 44.39087100047618ms
Info 15   [07:21:44.756] Different program with same set of files
Info 16   [07:21:45.348] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [07:21:45.381] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 33.380266999825835ms
Info 18   [07:21:45.381] Different program with same set of files
Info 19   [07:21:45.384] getCompletionData: Get current token: 0.04640699923038483
Info 20   [07:21:45.384] getCompletionData: Is inside comment: 0.05704699922353029
Info 21   [07:21:45.384] getCompletionData: Get previous token: 0.08902699965983629
Info 22   [07:21:45.385] getCompletionsAtPosition: isCompletionListBlocker: 0.44125800020992756
Info 23   [07:21:45.393] getExportInfoMap: cache miss or empty; calculating new results
Info 24   [07:21:45.425] getExportInfoMap: done in 32.94192500039935 ms
Info 25   [07:21:45.435] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 26   [07:21:45.435] collectAutoImports: response is complete
Info 27   [07:21:45.435] collectAutoImports: 9.219712999649346
Info 28   [07:21:45.435] getCompletionData: Semantic work: 49.48575200047344
Info 29   [07:21:45.452] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 16.65673099923879
Info 30   [07:21:46.485] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 31   [07:21:46.517] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 31.41890599951148ms
Info 32   [07:21:46.517] Different program with same set of files
Info 33   [07:21:46.518] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 34   [07:21:46.547] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 29.258321000263095ms
Info 35   [07:21:46.547] Different program with same set of files
Info 36   [07:21:46.825] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [07:21:46.854] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 28.60552500002086ms
Info 38   [07:21:46.854] Different program with same set of files
Info 39   [07:21:46.855] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [07:21:46.883] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 28.39489999972284ms
Info 41   [07:21:46.883] Different program with same set of files
Info 42   [07:21:47.384] Format host information updated
Info 43   [07:21:47.385] Format host information updated
Info 44   [07:21:47.385] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [07:21:47.414] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 28.79761700052768ms
Info 46   [07:21:47.414] Different program with same set of files
Info 47   [07:21:47.415] getCompletionData: Get current token: 0.06893899943679571
Info 48   [07:21:47.415] getCompletionData: Is inside comment: 0.016862000338733196
Info 49   [07:21:47.415] getCompletionData: Get previous token: 0.12879200000315905
Info 50   [07:21:47.415] getCompletionsAtPosition: isCompletionListBlocker: 0.028223000466823578
Info 51   [07:21:47.419] getCompletionData: Semantic work: 3.5663720006123185
Info 52   [07:21:47.427] getCompletionData: Get current token: 0.03652899991720915
Info 53   [07:21:47.427] getCompletionData: Is inside comment: 0.006531999446451664
Info 54   [07:21:47.427] getCompletionData: Get previous token: 0.17315500043332577
Info 55   [07:21:47.427] getCompletionsAtPosition: isCompletionListBlocker: 0.018223999999463558
Info 56   [07:21:47.430] getCompletionData: Semantic work: 2.9861040003597736
Info 57   [07:21:47.841] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [07:21:47.872] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 30.654880999587476ms
Info 59   [07:21:47.872] Different program with same set of files
Info 60   [07:21:47.873] getCompletionData: Get current token: 0.03671899996697903
Info 61   [07:21:47.873] getCompletionData: Is inside comment: 0.04851100035011768
Info 62   [07:21:47.873] getCompletionData: Get previous token: 0.045034000650048256
Info 63   [07:21:47.873] getCompletionsAtPosition: isCompletionListBlocker: 0.0036169998347759247
Info 64   [07:21:47.875] getCompletionData: Semantic work: 1.9747759997844696
Info 65   [07:21:47.877] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.1806350005790591
